Hybridization REF,TCGA-35-3615-01A-01R-0946-07,TCGA-55-1592-01A-01R-0946-07,TCGA-67-3770-01A-01R-0946-07,TCGA-44-2655-01A-01R-0946-07,TCGA-55-1594-01A-01R-0946-07,TCGA-67-3771-01A-01R-0946-07,TCGA-44-2656-01A-02R-0946-07,TCGA-55-1595-01A-01R-0946-07,TCGA-67-3772-01A-01R-0946-07,TCGA-44-2659-01A-01R-0946-07,TCGA-55-1596-01A-01R-0946-07,TCGA-67-3773-01A-01R-0946-07,TCGA-44-2662-01A-01R-0946-07,TCGA-64-1676-01A-01R-0946-07,TCGA-67-3774-01A-01R-0946-07,TCGA-44-2665-01A-01R-0946-07
CABIN1,-0.5846,0.1818,-0.6002,-0.4662,-0.4453,-0.4306,-0.6329,-0.0772,-0.5392,0.329,-0.3756,0.2888,-0.7239,-0.9898,-0.2136,-0.2875
HIST1H2AC,1.656875,0.993875,0.429875,0.149625,-0.314,0.648,1.427125,-0.77575,0.54175,0.919,0.349,1.768375,-0.049,1.303625,0.594,1.056125
NCOA1,0.443,1.613833333,0.551833333,0.778333333,1.141166667,1.712666667,0.832833333,0.290666667,0.3085,0.951,0.906333333,0.247666667,0.479,-0.877833333,1.156,0.270166667
AMDHD1,0.415333333,-1.117333333,0.418833333,0.451,-1.852333333,-0.272666667,-1.956166667,-0.417333333,-2.434166667,-1.801333333,1.035833333,-0.013333333,-3.515,-1.909666667,-2.199,-2.0195
GDF11,-2.13875,-2.3285,-0.64875,-2.63325,1.59775,-1.55825,-1.341,-1.366,-0.4395,-1.69,-1.621,-1.9145,-1.395,-2.06125,-1.8395,-1.389
TGS1,-0.64125,-0.19375,-0.12175,-0.45,-0.13575,0.04225,0.11875,-0.64175,-0.8505,-0.4695,0.47675,-0.2145,-0.259,-0.683,0.45575,-0.15375
SYF2,0.014,0.6175,0.041,0.26525,0.443,0.13375,0.3445,0.00275,0.1855,0.091,-0.332,0.35475,0.314,-0.203,0.63225,0.43975
PKHD1L1,0.824125,1.3835,0.475375,1.414875,1.792375,2.2,2.0785,0.739125,1.9745,1.795,1.423625,0.79425,1.349625,1.26125,1.02525,-0.03825
RAB32,0.684875,0.82975,1.924375,0.451125,0.089,0.352125,0.428125,-0.503125,1.331375,-0.01575,0.32225,1.11275,0.870125,1.1445,-0.080625,1.636125
CACNB2,-0.5401,-0.6778,-1.2306,-0.8552,-0.8968,-0.59,-0.7397,-0.0065,-1.0133,0.7811,0.4189,-0.7354,-1.2009,-0.933,-0.5915,-0.5102
PDE10A,-2.137,-2.78725,-2.381,-1.48275,-0.04525,-1.812,-1.07475,-0.7475,-1.1915,-2.10025,-1.46825,0.13,-0.272,-0.60875,-0.815,0.4865
MAP3K4,-1.393,-0.5305,-0.9565,-0.45725,-0.7975,-1.0185,-0.8645,-0.488,-1.055,-0.76225,-0.9005,-1.32025,-0.587,-1.22875,-0.21575,-0.15675
